respid,cell,rweight,tv,radio,ooh,online,social,sp_aw,relv,laugh,think,recom,talk,purchase,intent
83,1,0.8874,1,0,0,1,0,0,0,1,1,1,1,0,1
84,1,1.1108,0,0,0,0,0,1,1,1,1,1,0,0,1
84,4,0.772235272,0,0,0,0,0,0,1,1,1,1,0,0,0
85,3,0.7265,0,1,0,0,0,0,0,0,1,1,0,0,0
86,4,1.494292312,1,0,0,1,0,0,1,0,1,0,0,1,1
88,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,0.8874,0,0,0,0,0,0,1,1,1,1,0,1,1
91,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1
92,1,1.0301,1,1,0,0,1,0,1,1,0,1,1,0,0
94,1,1.1108,0,0,0,0,0,0,1,1,1,1,1,0,1
95,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,1
97,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0
97,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,1.1108,0,0,0,0,0,0,1,0,1,1,0,0,0
99,1,2.0028,0,0,0,0,0,1,1,0,1,1,1,0,1
101,1,0.8874,1,0,1,1,0,0,1,1,1,1,1,1,1
101,4,0.805227583,0,0,0,0,0,0,0,0,1,1,0,0,0
102,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,0.8112,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,0.9082,1,1,0,0,0,1,1,1,1,0,1,0,1
108,4,1.477126717,0,0,0,0,0,0,0,0,0,1,0,0,0
109,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,1.1108,0,0,0,0,0,0,1,1,1,1,1,0,1
110,4,0.805227583,0,0,0,0,0,0,1,0,1,1,0,0,0
112,3,1.5914,0,0,0,0,0,0,1,1,1,1,0,0,0
112,4,1.881970847,0,0,0,0,0,0,1,1,1,0,0,0,1
114,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,1
116,1,1.1108,0,0,0,0,0,0,0,0,0,1,0,0,0
117,1,0.8112,0,0,1,0,0,1,1,0,1,1,0,0,1
118,1,1.2039,0,0,0,0,0,0,1,1,1,1,1,1,1
119,1,0.8874,1,0,0,1,1,0,0,0,0,1,1,0,1
120,1,0.5275,0,0,0,0,0,0,0,0,1,0,0,0,0
121,1,0.5486,0,0,0,0,0,0,0,1,1,1,0,0,0
122,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
123,1,0.9082,1,0,0,1,1,1,1,1,0,0,0,0,1
124,1,0.8874,1,0,0,1,1,1,1,1,1,1,1,1,1
124,4,0.67011648,1,0,0,0,1,0,1,1,1,0,0,0,1
125,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,1.0962,1,1,1,1,1,0,0,0,0,0,0,0,1
127,1,1.2039,0,0,0,1,1,0,1,0,1,1,0,0,1
128,4,0.516023646,1,0,1,1,1,0,1,1,1,1,0,0,1
129,1,1.0301,1,0,0,1,1,1,0,0,0,1,1,1,0
129,4,0.805227583,0,0,0,0,0,0,0,1,1,1,0,1,1
131,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0
132,3,1.5914,0,0,0,0,0,0,1,1,0,1,0,0,1
133,1,0.8874,1,0,1,1,0,1,1,1,0,1,0,1,1
135,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4,1.494292312,1,0,0,0,0,0,0,1,1,0,0,0,0
136,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,0,0
138,1,1.2039,0,1,1,1,1,0,0,0,0,1,0,1,1
141,1,1.2039,0,0,0,1,0,0,0,0,0,0,0,0,1
142,3,1.7481,0,0,0,0,0,0,1,1,1,1,0,0,0
143,4,2.134612014,0,0,1,0,1,0,0,0,0,1,0,0,0
144,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4,0.516023646,1,0,0,0,0,0,0,0,0,1,1,1,1
149,3,0.6411,0,0,0,0,0,0,0,0,1,0,0,0,0
149,4,0.516023646,1,0,0,1,0,0,1,1,1,1,0,0,1
150,1,0.5275,0,0,0,0,0,0,1,0,1,0,0,0,0
152,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
154,3,1.9541,0,0,0,0,0,0,0,0,0,0,0,0,0
154,4,0.516023646,1,1,0,0,0,1,1,1,1,1,0,1,0
155,4,0.516023646,0,1,1,1,0,0,1,1,1,0,1,0,1
156,2,0.6657,1,0,0,0,0,0,0,1,0,0,0,1,0
157,2,1.1589,0,0,1,1,0,0,0,0,0,0,0,0,1
158,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2,1.6295,0,0,0,0,0,0,1,1,1,1,0,0,0
163,1,0.8112,1,0,0,1,0,1,1,1,1,1,1,1,1
164,1,1.0301,1,0,0,0,0,0,0,0,0,1,0,0,1
165,2,0.8488,0,0,0,0,0,0,0,0,0,0,0,0,0
167,1,0.9082,1,0,1,0,0,1,1,0,0,1,0,0,0
168,1,1.1108,0,0,0,0,0,0,0,1,0,1,0,0,1
169,2,0.7923,1,1,1,1,1,0,0,0,0,0,0,1,1
172,1,1.0301,0,0,1,0,0,0,1,1,1,0,0,0,1
173,3,1.916,0,0,0,0,0,0,1,1,1,1,1,0,1
173,4,2.134612014,0,1,1,0,0,0,0,0,0,0,0,1,1
174,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1,1.1108,0,0,0,0,0,0,1,1,1,1,0,0,0
176,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0
177,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0
179,4,0.772235272,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,1
181,2,0.5832,0,0,0,0,0,0,0,0,0,1,0,0,0
183,1,0.8112,1,0,1,0,0,0,1,1,1,1,1,1,1
186,1,1.224,0,1,0,0,0,0,0,0,0,0,0,0,0
190,1,0.8874,0,0,1,0,0,0,1,0,0,1,1,1,1
191,3,1.7481,0,0,0,0,0,0,1,1,1,1,0,0,0
194,1,1.1108,0,0,0,0,0,1,1,1,1,1,0,0,1
194,4,0.805227583,0,0,0,0,0,0,1,1,0,1,0,0,1
195,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1
196,3,0.971,0,0,0,0,0,1,0,0,1,0,0,0,0
196,4,1.50493281,0,0,0,0,0,1,1,0,0,1,1,1,1
197,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0
198,3,0.8028,0,0,0,0,0,0,0,0,0,0,0,0,0
198,4,0.902367157,1,0,0,0,0,0,0,1,1,1,0,0,0
201,3,0.701,0,0,0,0,0,0,0,0,0,1,0,0,0
201,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,1,1
202,3,0.966,1,0,0,0,0,0,0,0,0,0,0,0,0
203,3,1.0629,0,0,0,0,0,0,0,0,0,0,0,0,1
203,4,1.865932294,1,0,0,1,1,0,1,1,1,0,1,1,1
204,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,1,0
205,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0
207,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,0,0
209,4,1.514352138,0,0,0,0,0,0,1,1,0,0,0,0,0
210,2,1.2488,0,0,0,0,0,1,1,1,1,1,0,0,1
211,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0
212,3,1.5189,1,0,0,0,0,0,0,0,0,0,0,0,0
213,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,0
214,3,0.9227,0,1,0,1,0,0,1,1,1,1,0,1,1
215,2,0.7762,1,0,0,0,0,0,1,1,1,1,1,1,1
216,1,2.0775,0,0,0,0,0,0,1,0,1,1,0,0,0
216,4,0.805227583,0,0,0,0,0,0,1,1,1,1,0,0,0
217,4,0.67011648,1,1,0,0,1,0,1,1,0,1,1,1,1
218,4,0.577361825,0,0,0,0,0,0,0,0,0,1,0,0,0
220,4,0.759526474,0,0,0,0,0,1,0,0,0,0,0,0,0
221,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1,1.224,0,0,1,1,0,0,0,0,0,0,0,0,1
223,2,1.2488,0,0,0,0,0,0,1,1,1,1,1,1,1
223,4,0.805227583,0,0,0,0,0,0,0,1,0,1,0,0,0
224,3,0.7672,1,1,1,1,1,0,0,0,0,0,0,1,1
224,4,1.477126717,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2,1.5475,1,0,0,0,0,0,0,1,0,1,0,0,0
227,1,1.2039,1,0,0,0,1,0,0,0,0,0,0,0,0
227,4,1.514352138,0,0,0,0,0,1,0,0,0,0,1,0,0
228,3,1.9968,0,0,0,0,0,0,1,1,1,1,0,0,0
229,2,0.6657,0,1,0,0,0,1,1,1,1,1,0,0,1
229,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,0,0
230,4,1.50493281,0,0,0,0,0,0,1,1,0,1,1,0,1
231,3,1.791,0,0,0,0,0,0,0,0,0,0,0,0,1
231,4,0.577361825,0,0,0,0,0,0,1,0,0,1,0,0,1
232,1,0.5275,0,0,0,0,0,1,1,1,1,1,0,0,1
233,4,0.805227583,0,0,0,0,0,0,1,0,1,1,0,1,1
235,3,0.7998,1,0,0,0,0,0,0,0,0,0,0,0,0
237,4,0.516023646,0,1,0,0,0,1,1,1,0,1,1,1,1
238,3,0.8294,0,0,0,0,0,0,1,1,1,1,1,0,0
240,3,1.916,0,0,0,0,0,0,0,0,0,0,0,0,1
241,2,0.9355,1,0,0,0,0,0,1,1,1,1,1,0,0
241,4,0.805227583,0,0,0,0,0,0,0,0,0,1,0,0,1
242,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1,2.0028,0,0,0,0,0,0,0,0,0,0,0,0,0
245,1,0.5486,0,0,0,0,0,0,0,0,1,1,0,0,0
246,1,1.1108,0,0,0,0,0,1,1,1,1,1,1,0,1
247,2,1.3244,1,0,0,0,0,0,1,1,1,1,1,1,1
247,4,0.805227583,0,0,0,0,0,1,0,0,0,1,0,0,0
248,2,0.6657,0,0,0,1,1,1,1,0,0,1,1,1,1
248,4,2.134612014,0,1,0,0,0,0,0,0,0,0,0,0,1
249,1,0.8112,0,1,0,0,0,1,1,1,1,1,1,0,1
250,2,1.6295,0,0,0,0,0,1,1,1,1,1,0,0,1
251,1,0.8874,0,1,1,0,0,0,0,1,0,0,0,1,0
252,2,0.6657,1,1,1,1,1,0,1,1,1,1,1,1,1
253,4,1.881970847,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1,0.8112,1,0,1,0,0,0,1,0,0,1,0,0,0
255,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0
257,1,0.8874,1,0,0,0,0,0,1,0,1,1,1,1,1
258,1,0.8874,1,0,0,1,0,0,1,1,0,1,1,0,1
260,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1,0.8874,1,1,0,0,1,1,1,1,0,1,1,0,1
262,1,0.8874,0,0,0,1,0,0,1,0,0,0,1,1,1
264,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
264,4,0.772235272,0,0,0,0,0,0,0,0,0,0,0,0,0
265,1,0.8874,1,0,0,0,0,0,1,1,0,1,1,1,0
267,1,0.8874,1,1,1,1,1,1,1,1,0,1,1,1,1
269,1,1.1108,0,0,0,0,0,0,1,1,0,1,1,1,1
271,1,1.0301,0,1,0,0,0,0,1,1,0,1,1,1,0
273,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1,1.2039,0,0,0,1,0,0,0,0,0,0,0,1,1
276,1,0.5275,0,0,0,0,0,0,0,0,1,0,0,0,0
277,1,0.8112,0,1,0,0,0,1,0,1,0,1,0,0,0
279,1,1.1108,0,0,0,0,0,0,0,0,0,0,0,0,0
282,1,0.8112,1,0,0,1,0,0,0,0,0,1,0,1,0
283,1,0.8874,1,0,1,0,1,0,1,0,0,1,1,0,0
287,1,1.0962,1,0,0,0,0,0,1,1,1,0,0,0,1
288,1,0.8112,0,0,0,1,0,0,1,0,0,1,1,0,1
290,1,1.0962,0,0,0,1,1,0,0,0,0,0,0,1,1
291,1,0.5275,0,0,0,0,0,0,1,1,0,0,0,0,0
291,4,0.772235272,0,0,0,0,0,0,0,0,0,0,0,0,0
292,1,0.8112,1,0,0,0,1,1,1,1,1,1,1,0,0
293,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0
294,1,0.8112,0,0,1,0,0,0,1,1,0,1,0,1,0
295,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,0.8112,1,0,0,0,0,0,0,1,0,1,0,0,0
297,1,0.8874,1,0,0,1,1,0,1,1,1,1,1,1,1
299,1,1.1108,0,0,0,0,0,0,0,1,1,1,0,0,0
300,1,1.2039,1,0,0,0,0,0,0,0,0,0,0,1,1
302,1,1.0301,0,0,1,0,0,0,0,0,1,0,0,0,0
304,1,0.5486,0,0,0,0,0,1,0,0,0,0,0,0,0
305,1,0.8874,1,1,0,0,1,0,1,1,0,1,1,1,1
306,1,1.1108,0,0,0,0,0,1,1,1,1,1,0,1,1
307,1,1.224,0,0,0,0,0,0,0,0,0,0,0,0,1
310,1,1.2667,0,0,0,0,0,0,1,1,1,1,0,0,0
311,2,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,1
312,1,0.8874,1,1,1,1,1,0,0,1,1,1,0,1,1
315,4,1.494292312,0,0,0,1,0,0,0,1,0,0,0,0,1
316,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1,0.8112,0,0,1,1,1,0,1,0,1,1,1,1,1
319,1,2.0775,0,0,0,0,0,0,1,1,1,1,0,0,1
321,1,0.8112,1,1,0,1,0,0,0,0,1,1,1,0,0
324,1,1.0301,1,1,0,0,0,1,0,0,1,1,1,1,1
324,4,0.67011648,1,0,0,0,0,1,1,1,0,1,0,0,1
325,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0
326,1,1.2039,1,0,0,0,0,0,1,1,1,1,1,0,1
327,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,0
329,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0
332,1,0.5275,0,0,0,0,0,0,0,0,0,1,0,0,0
332,4,1.477126717,0,0,0,0,0,0,0,0,0,0,0,0,1
333,1,0.8112,1,0,1,0,0,1,1,1,1,1,0,0,0
334,1,0.5275,0,0,0,0,0,0,1,0,1,0,0,0,0
335,4,0.805227583,0,0,0,0,0,0,1,1,1,1,1,0,1
336,1,1.2039,1,1,0,1,0,0,0,0,0,0,1,1,0
337,1,1.1108,0,0,0,0,0,0,1,0,1,1,0,0,0
338,1,1.2667,0,0,0,0,0,0,0,0,0,0,0,1,0
339,1,0.9958,0,0,0,0,0,0,0,0,0,1,0,0,0
340,1,1.3158,0,0,0,1,0,0,1,1,1,1,1,0,0
341,1,0.8874,1,0,0,1,0,1,1,1,1,1,1,1,1
342,1,1.2039,0,1,0,0,1,1,1,1,0,0,0,0,0
343,1,1.0962,0,0,0,1,0,0,0,0,0,0,0,0,1
344,1,0.9958,0,0,0,0,0,0,0,1,0,1,0,0,0
346,1,2.0028,0,0,0,0,0,0,1,1,1,1,0,0,1
347,1,0.8112,0,1,0,1,0,1,1,1,0,1,1,1,1
349,1,1.3158,0,0,1,1,1,0,1,1,0,1,0,0,0
350,1,0.9958,0,0,0,0,0,0,1,0,0,0,0,0,1
351,2,1.9003,0,0,0,0,0,0,0,0,0,1,0,0,0
353,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
354,1,1.2039,0,0,0,0,0,0,1,1,1,1,0,1,1
355,2,1.6295,0,0,0,0,0,0,0,0,0,0,1,1,0
356,1,1.0962,0,0,0,0,1,0,0,0,0,0,0,0,0
357,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0
359,1,0.8112,1,1,1,1,1,0,1,1,0,1,1,1,1
360,1,2.0775,0,0,0,0,0,1,0,1,0,1,1,1,1
361,1,2.0028,0,0,0,0,0,1,1,1,1,1,0,1,1
362,1,1.2667,0,0,0,0,0,0,0,0,0,0,1,0,1
365,1,0.9082,0,0,0,1,0,0,1,1,1,1,1,1,1
366,1,2.0028,0,0,0,0,0,0,0,0,0,0,0,0,0
367,3,0.701,0,0,0,0,0,0,0,0,0,1,0,0,0
368,1,1.2039,0,0,0,1,1,0,0,0,0,0,0,0,1
369,1,1.0962,0,0,0,0,0,0,0,0,0,0,0,0,0
369,4,0.772235272,0,0,0,0,0,1,0,0,0,0,0,0,0
370,1,0.8112,1,0,0,0,0,0,1,1,0,1,0,0,1
371,1,0.8112,1,0,0,1,0,0,1,1,1,1,0,0,1
372,1,1.2667,0,0,0,0,0,0,1,1,1,1,1,1,1
374,1,0.9958,0,0,0,0,0,0,1,0,1,1,0,0,0
376,1,0.8874,1,0,0,0,0,1,1,1,1,1,1,0,1
377,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
379,1,0.8874,1,0,1,1,1,1,1,1,1,1,0,1,1
380,1,0.8874,1,0,0,0,0,1,1,1,1,1,1,1,1
381,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
382,1,1.2039,1,1,0,0,0,0,0,0,0,0,0,0,0
383,1,1.1108,0,0,0,0,0,0,1,1,0,1,0,0,1
384,1,0.5275,0,0,0,0,0,0,1,0,1,1,1,0,0
385,1,0.9082,0,0,0,0,1,0,1,1,1,0,0,0,0
386,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
387,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
388,1,1.0301,0,0,0,1,0,0,1,1,0,0,0,0,0
390,1,0.8112,1,0,0,0,0,0,0,0,0,1,0,0,0
392,1,1.0962,0,0,0,0,1,0,0,0,0,1,0,0,1
393,1,1.1108,0,0,0,0,0,0,0,0,0,0,0,0,0
395,3,1.1773,1,0,0,0,0,1,0,1,0,1,1,1,1
398,1,0.5275,0,0,0,0,0,0,1,1,1,1,0,0,1
399,1,1.1108,0,0,0,0,0,0,0,1,1,1,1,1,1
400,3,0.7051,0,0,0,0,0,0,1,1,1,1,0,1,1
401,1,0.8112,0,0,1,1,0,0,1,1,1,1,1,0,1
403,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,0
404,1,0.8112,1,1,1,1,1,0,1,1,1,1,1,1,1
407,1,1.1108,0,0,0,0,0,0,1,1,1,1,0,0,0
407,4,1.865932294,0,0,0,0,1,1,0,1,0,1,0,1,0
409,2,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,0
412,1,1.1108,0,0,0,0,0,0,0,0,0,0,0,0,0
413,1,0.5275,0,0,0,0,0,0,1,0,1,0,0,0,0
415,1,1.0962,0,0,0,1,0,0,0,0,0,0,0,0,0
416,1,1.1108,0,0,0,0,0,0,1,1,1,1,0,0,1
417,1,1.1108,0,0,0,0,0,0,1,1,1,1,0,1,1
419,1,2.0775,0,0,0,0,0,0,0,0,0,1,0,0,0
420,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1
421,1,1.2667,0,0,0,0,0,0,0,0,1,0,0,0,0
422,1,0.8112,1,0,0,1,1,0,1,1,1,1,1,1,1
422,4,0.516023646,0,0,0,0,0,0,1,1,0,1,0,0,0
423,1,0.8112,1,0,0,0,0,0,1,1,1,1,0,1,0
424,1,1.0962,1,0,0,0,0,0,0,0,0,0,0,0,0
425,1,1.1108,0,0,0,0,0,0,0,1,1,1,0,0,1
426,1,1.0962,0,1,0,0,0,0,0,0,0,0,0,0,1
429,1,1.0913,0,0,0,0,0,0,0,0,0,0,0,0,0
430,1,0.5275,0,0,0,0,0,1,1,1,1,1,0,0,0
431,1,0.8874,0,1,0,0,0,0,0,0,1,1,1,0,1
432,1,0.8874,0,0,0,0,1,1,1,1,0,1,1,0,1
433,1,1.2039,0,0,0,0,1,0,0,1,1,1,0,0,0
434,1,1.224,0,0,1,0,0,0,0,0,0,0,0,0,0
435,1,0.8112,1,0,1,1,1,0,1,1,1,1,1,1,1
436,1,1.0301,1,0,1,0,1,0,0,0,0,0,0,0,0
438,1,0.8112,0,0,0,0,0,0,0,0,0,1,0,0,1
439,1,0.5486,0,0,0,0,0,0,1,0,0,0,0,0,0
440,1,0.8112,1,0,0,1,1,0,0,0,0,1,0,0,0
442,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,1
443,1,1.1108,0,0,0,0,0,0,1,1,1,1,1,0,1
444,1,1.224,0,0,0,0,1,0,0,0,0,0,0,0,0
445,1,2.0028,0,0,0,0,0,1,1,1,1,1,1,0,0
449,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,1,1
450,4,0.772235272,0,0,0,0,0,0,0,0,0,0,0,1,1
452,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
453,1,0.9958,0,0,0,0,0,0,0,1,0,0,0,0,0
454,1,1.2039,1,1,1,1,0,0,0,0,0,0,0,1,1
456,1,2.0775,0,0,0,0,0,0,1,1,0,1,0,1,1
457,1,0.9082,1,1,1,1,1,0,1,1,0,1,1,1,1
458,1,0.8112,0,0,0,1,0,0,1,1,0,1,1,1,1
460,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
460,4,0.759526474,0,0,0,0,0,0,0,0,0,0,0,0,0
461,1,0.8112,1,0,0,0,0,0,0,1,0,1,1,0,1
462,3,1.5189,1,0,0,0,0,0,0,0,0,1,0,0,0
464,1,0.8874,0,1,0,0,0,0,0,0,1,0,0,1,0
465,1,1.224,0,0,0,0,0,0,0,0,0,0,0,1,1
466,1,0.8112,0,0,0,1,0,1,1,1,1,1,0,1,1
467,1,0.8874,1,1,0,1,0,0,1,0,0,1,1,0,1
469,1,0.5486,0,0,0,0,0,0,1,1,1,0,0,0,0
470,1,0.8112,1,0,0,0,0,0,1,1,0,1,1,1,1
471,1,0.8874,0,1,0,1,0,1,1,1,0,1,0,0,1
473,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
474,1,0.5486,0,0,0,0,0,1,0,0,0,1,0,0,0
474,4,1.494292312,1,0,0,0,0,0,1,1,0,1,0,0,0
475,1,0.5486,0,0,0,0,0,0,1,1,1,1,0,0,1
476,1,1.0962,0,0,1,0,0,0,0,0,0,0,0,0,0
477,1,0.9958,0,0,0,0,0,0,0,0,0,0,0,0,1
477,4,1.881970847,0,0,0,0,0,0,1,1,0,1,0,0,0
479,2,1.5475,1,0,0,1,1,0,1,0,0,1,0,1,1
480,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
482,1,0.8874,1,0,0,1,0,1,1,1,0,1,0,0,1
483,1,0.8874,0,1,0,0,1,1,1,1,1,1,1,1,1
485,2,0.6657,1,0,0,1,0,0,1,1,1,1,1,0,1
486,1,1.0962,0,0,0,0,0,1,1,1,1,1,1,1,0
487,1,1.2667,0,0,0,0,0,0,1,0,0,0,0,0,1
488,1,1.1108,0,0,0,0,0,0,1,1,1,1,0,0,0
490,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0
491,1,0.8874,0,0,0,0,1,1,1,1,0,1,1,0,1
492,1,0.9958,0,0,0,0,0,0,0,0,0,1,0,0,0
493,1,2.0028,0,0,0,0,0,1,1,0,1,1,0,0,1
494,1,2.0775,0,0,0,0,0,0,0,0,1,0,0,0,1
496,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
497,1,1.0962,0,0,0,1,0,0,0,0,0,1,0,0,0
498,1,0.9082,1,0,0,0,0,0,0,0,0,1,0,1,0
499,2,1.3372,0,0,0,0,0,0,0,0,0,0,0,0,1
500,1,1.0301,0,0,1,0,0,0,0,0,0,0,0,1,1
502,1,0.9082,1,0,0,0,0,0,1,1,0,1,0,1,1
504,1,0.5486,0,0,0,0,0,0,0,0,0,0,0,0,0
505,1,1.0962,0,0,0,0,1,0,1,0,1,1,0,0,0
506,1,0.9958,0,0,0,0,0,0,0,1,0,0,0,0,0
507,1,1.2039,0,0,0,1,1,0,0,0,1,1,0,0,0
508,1,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0
508,4,0.805227583,0,0,0,0,0,1,1,1,1,1,0,0,0
